Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
241,tt2111478,2013-04-24,2013-04-24,,Mea Maxima Culpa: Silence in the House of God,https://www.imdb.com/title/tt2111478/,movie,8.0,106,2012,Documentary,3172,2012-09-09,Alex Gibney
242,tt2123210,2013-04-24,2013-04-24,,Inocente,https://www.imdb.com/title/tt2123210/,short,7.4,40,2012,"Documentary, Short, Biography, Drama, News",322,2012-06-15,"Andrea Nix, Sean Fine"
243,tt0064921,2013-04-24,2013-04-24,,Salesman,https://www.imdb.com/title/tt0064921/,movie,7.9,85,1969,"Documentary, Drama",4166,1969-04-17,"Charlotte Zwerin, David Maysles, Albert Maysles"
244,tt1097268,2013-04-24,2013-04-24,,Very Young Girls,https://www.imdb.com/title/tt1097268/,movie,6.6,83,2007,"Documentary, Crime",413,2007-09-11,"David Schisgall, Nina Alvarez"
245,tt1708537,2013-04-24,2013-04-24,,The Whale,https://www.imdb.com/title/tt1708537/,movie,8.1,85,2011,Documentary,603,2011-09-09,"Michael Parfit, Suzanne Chisholm"
246,tt0439602,2013-04-24,2013-04-24,,A Haunting in Connecticut,https://www.imdb.com/title/tt0439602/,tvMovie,7.0,94,2002,"Documentary, Horror",1014,2002-12-31,John Kavanaugh
247,tt1206345,2013-04-24,2013-04-24,,Wild Ocean,https://www.imdb.com/title/tt1206345/,movie,6.6,45,2008,Documentary,226,2008-03-14,"Steve McNicholas, Luke Cresswell"
248,tt1581845,2013-04-24,2013-04-24,,Somewhere Between,https://www.imdb.com/title/tt1581845/,movie,7.8,88,2011,Documentary,400,2011-05-01,Linda Goldstein Knowlton
249,tt2366308,2013-04-24,2013-04-24,,Everything or Nothing,https://www.imdb.com/title/tt2366308/,movie,7.6,98,2012,Documentary,1932,2012-10-05,Stevan Riley
250,tt2354205,2013-04-24,2013-04-24,,McCullin,https://www.imdb.com/title/tt2354205/,movie,8.2,91,2012,Documentary,2095,2012-04-27,"Jacqui Morris, David Morris"
251,tt0912583,2013-04-24,2013-04-24,,For the Bible Tells Me So,https://www.imdb.com/title/tt0912583/,movie,7.8,95,2007,"Documentary, Romance",4244,2007-01-21,Daniel G. Karslake
252,tt2072045,2013-04-24,2013-04-24,,Are All Men Pedophiles?,https://www.imdb.com/title/tt2072045/,movie,6.7,70,2013,"Documentary, History",2423,2013-03-01,Jan-Willem Breure
253,tt1068634,2013-04-24,2013-04-24,,Body of War,https://www.imdb.com/title/tt1068634/,movie,7.8,87,2007,"Documentary, War",520,2007-09-11,"Phil Donahue, Ellen Spiro"
254,tt1294790,2013-04-24,2013-04-24,,The End of America,https://www.imdb.com/title/tt1294790/,movie,7.5,74,2008,Documentary,758,2008-10-31,"Ricki Stern, Anne Sundberg"
255,tt0364930,2013-04-24,2013-04-24,,Aileen: Life and Death of a Serial Killer,https://www.imdb.com/title/tt0364930/,movie,7.1,93,2003,"Documentary, Crime",5942,2003-05-10,"Joan Churchill, Nick Broomfield"
256,tt1260704,2013-04-24,2013-04-24,,Confessions of an Innocent Man,https://www.imdb.com/title/tt1260704/,movie,7.5,90,2007,"Documentary, Biography",100,2007-11-03,David Paperny
