Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
487,tt1931551,2013-04-23,2013-04-23,,The 25th Reich,https://www.imdb.com/title/tt1931551/,movie,3.3,85,2012,"Action, Adventure, Fantasy, Sci-Fi",1025,2012-05-10,Stephen Amis
488,tt0093891,2013-04-23,2013-04-23,,Rumpelstiltskin,https://www.imdb.com/title/tt0093891/,movie,5.5,84,1987,"Fantasy, Family, Musical",488,1987-04-30,David Irving
489,tt1693679,2013-04-23,2013-04-23,,Hirokin,https://www.imdb.com/title/tt1693679/,movie,3.4,105,2012,"Action, Adventure, Drama, Fantasy, Sci-Fi",1710,2012-04-23,Alejo Mo-Sun
490,tt0829176,2013-04-23,2013-04-23,,Gallowwalkers,https://www.imdb.com/title/tt0829176/,movie,3.6,90,2012,"Action, Horror, Thriller, Western",6774,2012-10-27,Andrew Goth
491,tt1577065,2013-04-23,2013-04-23,,Sinbad and the Minotaur,https://www.imdb.com/title/tt1577065/,tvMovie,3.3,88,2011,"Adventure, Fantasy, Sci-Fi",1063,2011-05-21,Karl Zwicky
492,tt1928340,2013-04-23,2013-04-23,,After the Dark,https://www.imdb.com/title/tt1928340/,movie,5.8,107,2013,"Drama, Fantasy, Sci-Fi",19958,2013-07-07,John Huddles
493,tt1525474,2013-04-23,2013-04-23,,Werewolves: The Dark Survivors,https://www.imdb.com/title/tt1525474/,tvMovie,6.1,,2009,Fantasy,140,2009-10-25,Edward Bazalgette
494,tt1879032,2013-04-23,2013-04-23,,Rapture-Palooza,https://www.imdb.com/title/tt1879032/,movie,5.3,85,2013,"Comedy, Fantasy",10527,2013-06-07,Paul Middleditch
495,tt1692098,2013-04-23,2013-04-23,,Hideaways,https://www.imdb.com/title/tt1692098/,movie,6.2,88,2011,"Fantasy, Thriller",2548,2011-04-21,Agnès Merlet
496,tt1808474,2013-04-23,2013-04-23,,Sinister Visions,https://www.imdb.com/title/tt1808474/,movie,4.6,85,2013,"Fantasy, Horror, Thriller",87,2013-08-13,"Henric Brandt, Andreas Rylander, Doug Gehl, Kim Sønderholm"
497,tt0820872,2013-04-23,2013-04-23,,Drifter,https://www.imdb.com/title/tt0820872/,movie,4.5,100,2008,"Fantasy, Thriller",241,2008-04-10,Roel Reiné
498,tt0372873,2013-04-23,2013-04-23,,D-War,https://www.imdb.com/title/tt0372873/,movie,3.6,90,2007,"Action, Drama, Fantasy, Horror, Thriller",22828,2007-08-01,Hyung-rae Shim
499,tt1767319,2013-04-23,2013-04-23,,In the Name of the King: Two Worlds,https://www.imdb.com/title/tt1767319/,movie,3.1,96,2011,"Action, Adventure, Fantasy, Thriller",4360,2011-12-27,Uwe Boll
500,tt1594917,2013-04-23,2013-04-23,,Age of the Dragons,https://www.imdb.com/title/tt1594917/,movie,3.4,91,2011,"Action, Adventure, Fantasy",4145,2011-03-21,Ryan Little
