Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
271,tt0282120,2013-04-23,2013-04-23,,The Wild Thornberrys Movie,https://www.imdb.com/title/tt0282120/,movie,5.4,85,2002,"Animation, Adventure, Comedy, Family, Fantasy",13399,2002-09-08,"Jeff McGrath, Cathy Malkasian"
272,tt0885415,2013-04-23,2013-04-23,,Niko - lentäjän poika,https://www.imdb.com/title/tt0885415/,movie,6.2,80,2008,"Animation, Adventure, Family, Fantasy",2927,2008-09-22,"Kari Juusonen, Michael Hegner"
273,tt0435286,2013-04-23,2013-04-23,,Gekijouban Poketto monsutâ Adobansu jenerêshon: Rekkuu no houmonsha Deokishisu,https://www.imdb.com/title/tt0435286/,movie,6.1,98,2004,"Animation, Action, Adventure, Drama, Family, Fantasy, Sci-Fi",2745,2004-07-17,"Darren Dunstan, Kunihiko Yuyama"
274,tt0287635,2013-04-23,2013-04-23,,Poketto monsutâ: Serebî - Toki wo koeta deai,https://www.imdb.com/title/tt0287635/,movie,5.7,75,2001,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",6886,2001-07-07,"Kunihiko Yuyama, Jim Malone"
275,tt0096866,2013-04-23,2013-04-23,,The BFG,https://www.imdb.com/title/tt0096866/,movie,6.7,87,1987,"Animation, Adventure, Drama, Family, Fantasy",6079,1987-11-05,Brian Cosgrove
276,tt0104740,2013-04-23,2013-04-23,,Little Nemo,https://www.imdb.com/title/tt0104740/,movie,7.2,85,1989,"Animation, Adventure, Drama, Family, Fantasy",6242,1989-07-15,"William T. Hurtz, Masami Hata"
277,tt0079802,2013-04-23,2013-04-23,,The Return of the King,https://www.imdb.com/title/tt0079802/,tvMovie,5.7,98,1980,"Animation, Action, Adventure, Fantasy, Musical",3281,1980-05-11,"Jules Bass, Arthur Rankin Jr."
279,tt0103783,2013-04-23,2013-04-23,,Bébé's Kids,https://www.imdb.com/title/tt0103783/,movie,5.7,70,1992,"Animation, Comedy, Fantasy, Musical",4363,1992-07-31,Bruce W. Smith
280,tt0763304,2013-04-23,2013-04-23,,Doogal,https://www.imdb.com/title/tt0763304/,movie,2.8,85,2006,"Animation, Adventure, Comedy, Family, Fantasy",4314,2006-02-24,"Frank Passingham, Dave Borthwick, Jean Duval"
281,tt0108395,2013-04-23,2013-04-23,,A Troll in Central Park,https://www.imdb.com/title/tt0108395/,movie,5.4,76,1994,"Animation, Adventure, Comedy, Family, Fantasy, Musical",5567,1994-07-13,"Gary Goldman, Don Bluth"
282,tt0112389,2013-04-23,2013-04-23,,The Thief and the Cobbler,https://www.imdb.com/title/tt0112389/,movie,7.1,90,1993,"Animation, Action, Adventure, Comedy, Family, Fantasy, Musical",3087,1992-05-15,Richard Williams
283,tt0107745,2013-04-23,2013-04-23,,Once Upon a Forest,https://www.imdb.com/title/tt0107745/,movie,6.6,71,1993,"Animation, Adventure, Drama, Family",4519,1993-06-18,Charles Grosvenor
284,tt0115509,2013-04-23,2013-04-23,,All Dogs Go to Heaven 2,https://www.imdb.com/title/tt0115509/,movie,5.5,82,1996,"Animation, Adventure, Family, Fantasy, Romance",5010,1996-03-29,"Paul Sabella, Larry Leker"
285,tt0118829,2013-04-23,2013-04-23,,Cats Don't Dance,https://www.imdb.com/title/tt0118829/,movie,6.9,75,1997,"Animation, Comedy, Family, Fantasy, Musical",6481,1997-03-26,Mark Dindal
