Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
515,tt0409345,2013-04-24,2013-04-24,,Surveillance,https://www.imdb.com/title/tt0409345/,movie,6.4,97,2008,"Crime, Drama, Mystery, Thriller",16146,2008-05-21,Jennifer Lynch
516,tt0120753,2013-04-24,2013-04-24,,The Million Dollar Hotel,https://www.imdb.com/title/tt0120753/,movie,5.9,122,2000,"Drama, Mystery, Thriller",19906,2000-02-09,Wim Wenders
517,tt0264508,2013-04-24,2013-04-24,,Dagon,https://www.imdb.com/title/tt0264508/,movie,6.3,95,2001,"Fantasy, Horror, Mystery",15094,2001-10-12,Stuart Gordon
518,tt0259442,2013-04-24,2013-04-24,,The Monkey's Mask,https://www.imdb.com/title/tt0259442/,movie,5.1,93,2000,"Crime, Mystery, Thriller",1425,2000-09-13,Samantha Lang
519,tt0116905,2013-04-24,2013-04-24,,Lone Star,https://www.imdb.com/title/tt0116905/,movie,7.5,135,1996,"Drama, Mystery",26104,1996-03-14,John Sayles
520,tt1291570,2013-04-24,2013-04-24,,Solace,https://www.imdb.com/title/tt1291570/,movie,6.4,101,2015,"Crime, Drama, Mystery, Thriller",49163,2015-09-03,Afonso Poyart
521,tt0099385,2013-04-24,2013-04-24,,Death Warrant,https://www.imdb.com/title/tt0099385/,movie,5.7,89,1990,"Action, Crime, Mystery, Thriller",15551,1990-09-14,Deran Sarafian
522,tt0119210,2013-04-24,2013-04-24,,Switchback,https://www.imdb.com/title/tt0119210/,movie,6.4,118,1997,"Crime, Mystery, Thriller",11465,1997-10-31,Jeb Stuart
523,tt0165832,2013-04-24,2013-04-24,,Interstate 60: Episodes of the Road,https://www.imdb.com/title/tt0165832/,movie,7.7,116,2002,"Adventure, Comedy, Drama, Fantasy",27475,2002-04-13,Bob Gale
524,tt0067309,2013-04-24,2013-04-24,,Klute,https://www.imdb.com/title/tt0067309/,movie,7.2,114,1971,"Crime, Mystery, Thriller",19024,1971-06-23,Alan J. Pakula
525,tt0074806,2013-04-24,2013-04-24,,The Little Girl Who Lives Down the Lane,https://www.imdb.com/title/tt0074806/,movie,7.1,100,1976,"Drama, Horror, Mystery, Thriller",11361,1976-05-31,Nicolas Gessner
526,tt0076009,2013-04-24,2013-04-24,,Exorcist II: The Heretic,https://www.imdb.com/title/tt0076009/,movie,3.7,117,1977,Horror,19640,1977-06-17,John Boorman
527,tt0084335,2013-04-24,2013-04-24,,Missing,https://www.imdb.com/title/tt0084335/,movie,7.8,122,1982,"Biography, Drama, History, Mystery, Thriller",16551,1982-02-12,Costa-Gavras
528,tt0077413,2013-04-24,2013-04-24,,Death on the Nile,https://www.imdb.com/title/tt0077413/,movie,7.3,140,1978,"Crime, Drama, Mystery",24759,1978-09-29,John Guillermin
529,tt0077394,2013-04-24,2013-04-24,,Damien: Omen II,https://www.imdb.com/title/tt0077394/,movie,6.3,107,1978,Horror,26566,1978-06-05,"Don Taylor, Mike Hodges"
530,tt0090655,2013-04-24,2013-04-24,,April Fool's Day,https://www.imdb.com/title/tt0090655/,movie,6.2,89,1986,"Horror, Mystery",12630,1986-03-28,Fred Walton
531,tt0091799,2013-04-24,2013-04-24,,Psycho III,https://www.imdb.com/title/tt0091799/,movie,5.3,93,1986,"Horror, Mystery, Thriller",11557,1986-05-31,Anthony Perkins
532,tt0093036,2013-04-24,2013-04-24,,Flowers in the Attic,https://www.imdb.com/title/tt0093036/,movie,5.7,93,1987,"Drama, Mystery, Thriller",8576,1987-11-20,Jeffrey Bloom
533,tt0102900,2013-04-24,2013-04-24,,Shattered,https://www.imdb.com/title/tt0102900/,movie,6.5,98,1991,"Crime, Drama, Mystery, Thriller",7472,1991-02-28,Wolfgang Petersen
534,tt0106664,2013-04-24,2013-04-24,,The Dark Half,https://www.imdb.com/title/tt0106664/,movie,5.9,122,1993,"Horror, Mystery, Thriller",14345,1993-04-23,George A. Romero
