Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
49,tt0107985,2013-04-23,2013-04-23,,Rookie of the Year,https://www.imdb.com/title/tt0107985/,movie,6.0,103,1993,"Comedy, Family, Fantasy, Sport",22049,1993-07-07,Daniel Stern
50,tt0174856,2013-04-23,2013-04-23,,The Hurricane,https://www.imdb.com/title/tt0174856/,movie,7.6,146,1999,"Biography, Drama, Sport",86220,1999-09-17,Norman Jewison
51,tt0139699,2013-04-23,2013-04-23,,Varsity Blues,https://www.imdb.com/title/tt0139699/,movie,6.5,106,1999,"Comedy, Drama, Romance, Sport",39017,1999-01-15,Brian Robbins
52,tt0146984,2013-04-23,2013-04-23,,The Legend of Bagger Vance,https://www.imdb.com/title/tt0146984/,movie,6.7,126,2000,"Drama, Fantasy, Sport",50511,2000-10-29,Robert Redford
53,tt0248667,2013-04-23,2013-04-23,,Ali,https://www.imdb.com/title/tt0248667/,movie,6.8,157,2001,"Biography, Drama, Sport",87624,2001-12-11,Michael Mann
54,tt0349825,2013-04-23,2013-04-23,,Miracle,https://www.imdb.com/title/tt0349825/,movie,7.5,135,2004,"Biography, Drama, History, Sport",43144,2004-02-02,Gavin O'Connor
55,tt0355702,2013-04-23,2013-04-23,,Lords of Dogtown,https://www.imdb.com/title/tt0355702/,movie,7.1,107,2005,"Biography, Drama, Sport",49150,2005-06-03,Catherine Hardwicke
56,tt0445990,2013-04-23,2013-04-23,,Invincible,https://www.imdb.com/title/tt0445990/,movie,7.1,105,2006,"Biography, Drama, Sport",60436,2006-08-25,Ericson Core
57,tt0492956,2013-04-23,2013-04-23,,The Game Plan,https://www.imdb.com/title/tt0492956/,movie,6.2,110,2007,"Comedy, Family, Sport",53289,2007-09-23,Andy Fickman
58,tt0839980,2013-04-23,2013-04-23,,Semi-Pro,https://www.imdb.com/title/tt0839980/,movie,5.8,91,2008,"Comedy, Sport",74338,2008-02-19,Kent Alterman
59,tt0811080,2013-04-23,2013-04-23,,Speed Racer,https://www.imdb.com/title/tt0811080/,movie,6.0,135,2008,"Action, Adventure, Comedy, Drama, Family, Sci-Fi, Sport",64980,2008-04-28,"Lilly Wachowski, Lana Wachowski"
60,tt1172233,2013-04-23,2013-04-23,,Whip It,https://www.imdb.com/title/tt1172233/,movie,6.9,111,2009,"Drama, Sport",61120,2009-09-13,Drew Barrymore
61,tt1606392,2013-04-23,2013-04-23,,Win Win,https://www.imdb.com/title/tt1606392/,movie,7.2,106,2011,"Comedy, Drama, Sport",51562,2011-01-21,Tom McCarthy
62,tt0112461,2013-04-23,2013-04-23,,The Basketball Diaries,https://www.imdb.com/title/tt0112461/,movie,7.3,102,1995,"Biography, Crime, Drama, Sport",93767,1995-01-27,Scott Kalvert
63,tt0079817,2013-04-23,2013-04-23,,Rocky II,https://www.imdb.com/title/tt0079817/,movie,7.2,119,1979,"Drama, Sport",172080,1979-06-15,Sylvester Stallone
64,tt0437863,2013-04-23,2013-04-23,,The Benchwarmers,https://www.imdb.com/title/tt0437863/,movie,5.6,80,2006,"Comedy, Sport",45524,2006-04-07,Dennis Dugan
65,tt0385726,2013-04-23,2013-04-23,,Glory Road,https://www.imdb.com/title/tt0385726/,movie,7.2,118,2006,"Biography, Drama, Sport",39915,2006-01-13,James Gartner
66,tt0457510,2013-04-23,2013-04-23,,Nacho Libre,https://www.imdb.com/title/tt0457510/,movie,5.7,92,2006,"Comedy, Family, Sport",75467,2006-06-16,Jared Hess
67,tt0758794,2013-04-23,2013-04-23,,We Are Marshall,https://www.imdb.com/title/tt0758794/,movie,7.1,131,2006,"Drama, Sport",53514,2006-12-12,McG
68,tt0424823,2013-04-23,2013-04-23,,Balls of Fury,https://www.imdb.com/title/tt0424823/,movie,5.3,90,2007,"Comedy, Crime, Sport",38786,2007-08-29,Robert Ben Garant
69,tt0469903,2013-04-23,2013-04-23,,The Express,https://www.imdb.com/title/tt0469903/,movie,7.3,130,2008,"Biography, Drama, Sport",18632,2008-09-12,Gary Fleder
70,tt1028576,2013-04-23,2013-04-23,,Secretariat,https://www.imdb.com/title/tt1028576/,movie,7.2,123,2010,"Biography, Drama, Family, History, Sport",24447,2010-09-30,Randall Wallace
71,tt0093692,2013-04-23,2013-04-23,,Over the Top,https://www.imdb.com/title/tt0093692/,movie,5.7,93,1987,"Action, Drama, Sport",45580,1987-02-12,Menahem Golan
72,tt0100507,2013-04-23,2013-04-23,,Rocky V,https://www.imdb.com/title/tt0100507/,movie,5.2,104,1990,"Drama, Sport",115476,1990-11-13,John G. Avildsen
73,tt0106611,2013-04-23,2013-04-23,,Cool Runnings,https://www.imdb.com/title/tt0106611/,movie,6.9,98,1993,"Adventure, Comedy, Family, Sport",83932,1993-10-01,Jon Turteltaub
74,tt0108002,2013-04-23,2013-04-23,,Rudy,https://www.imdb.com/title/tt0108002/,movie,7.6,114,1993,"Biography, Drama, Sport",50160,1993-09-18,David Anspaugh
75,tt0191397,2013-04-23,2013-04-23,,The Replacements,https://www.imdb.com/title/tt0191397/,movie,6.5,118,2000,"Comedy, Sport",54123,2000-08-07,Howard Deutch
76,tt0408524,2013-04-23,2013-04-23,,Bad News Bears,https://www.imdb.com/title/tt0408524/,movie,5.8,113,2005,"Comedy, Sport",19244,2005-07-22,Richard Linklater
77,tt0421206,2013-04-23,2013-04-23,,Gridiron Gang,https://www.imdb.com/title/tt0421206/,movie,6.9,125,2006,"Crime, Drama, Sport",41827,2006-09-05,Phil Joanou
78,tt0430634,2013-04-23,2013-04-23,,Stick It,https://www.imdb.com/title/tt0430634/,movie,6.4,103,2006,"Comedy, Drama, Sport",25164,2006-04-21,Jessica Bendinger
79,tt0425413,2013-04-23,2013-04-23,,Run Fatboy Run,https://www.imdb.com/title/tt0425413/,movie,6.6,100,2007,"Comedy, Romance, Sport",63341,2007-09-07,David Schwimmer
80,tt1082601,2013-04-23,2013-04-23,,Fighting,https://www.imdb.com/title/tt1082601/,movie,5.6,105,2009,"Action, Drama, Sport",30583,2009-04-24,Dito Montiel
81,tt1754264,2013-04-23,2013-04-23,,Never Back Down 2: The Beatdown,https://www.imdb.com/title/tt1754264/,video,5.8,90,2011,"Action, Drama, Sport",16572,2011-04-08,Michael Jai White
82,tt1628055,2013-04-23,2013-04-23,,Touchback,https://www.imdb.com/title/tt1628055/,movie,6.5,118,2011,"Drama, Family, Fantasy, Sport",3657,2011-09-28,Don Handfield
83,tt1156466,2013-04-23,2013-04-23,,Undisputed III: Redemption,https://www.imdb.com/title/tt1156466/,video,7.5,96,2010,"Action, Crime, Drama, Sport",35742,2010-04-17,Isaac Florentine
84,tt0092675,2013-04-23,2013-04-23,,Bloodsport,https://www.imdb.com/title/tt0092675/,movie,6.8,92,1988,"Action, Biography, Drama, Sport",69206,1988-02-26,Newt Arnold
85,tt0090685,2013-04-23,2013-04-23,,Back to School,https://www.imdb.com/title/tt0090685/,movie,6.6,96,1986,"Comedy, Romance, Sport",25481,1986-06-13,Alan Metter
86,tt0091217,2013-04-23,2013-04-23,,Hoosiers,https://www.imdb.com/title/tt0091217/,movie,7.6,114,1986,"Drama, Sport",39493,1986-11-10,David Anspaugh
87,tt0094812,2013-04-23,2013-04-23,,Bull Durham,https://www.imdb.com/title/tt0094812/,movie,7.1,108,1988,"Comedy, Romance, Sport",43374,1988-06-15,Ron Shelton
88,tt0329575,2013-04-23,2013-04-23,,Seabiscuit,https://www.imdb.com/title/tt0329575/,movie,7.3,140,2003,"Drama, History, Sport",63076,2003-07-22,Gary Ross
89,tt0360201,2013-04-23,2013-04-23,,Wimbledon,https://www.imdb.com/title/tt0360201/,movie,6.3,98,2004,"Comedy, Romance, Sport",56556,2004-09-13,Richard Loncraine
90,tt0332047,2013-04-23,2013-04-23,,Fever Pitch,https://www.imdb.com/title/tt0332047/,movie,6.2,104,2005,"Comedy, Drama, Romance, Sport",40064,2005-04-06,"Peter Farrelly, Bobby Farrelly"
91,tt0267891,2013-04-23,2013-04-23,,The Ringer,https://www.imdb.com/title/tt0267891/,movie,5.8,94,2005,"Comedy, Sport",33609,2005-12-23,Barry W. Blaustein
92,tt0446059,2013-04-23,2013-04-23,,Huo yuanjia,https://www.imdb.com/title/tt0446059/,movie,7.7,104,2006,"Action, Biography, Drama, Sport",69113,2006-01-26,Ronny Yu
93,tt0811138,2013-04-23,2013-04-23,,The Love Guru,https://www.imdb.com/title/tt0811138/,movie,3.8,87,2008,"Comedy, Romance, Sport",47618,2008-06-20,Marco Schnabel
94,tt0443676,2013-04-23,2013-04-23,,Undisputed II: Last Man Standing,https://www.imdb.com/title/tt0443676/,video,7.1,98,2006,"Action, Crime, Drama, Sport",30815,2006-04-11,Isaac Florentine
95,tt0076723,2013-04-23,2013-04-23,,Slap Shot,https://www.imdb.com/title/tt0076723/,movie,7.4,123,1977,"Comedy, Drama, Sport",31934,1977-02-25,George Roy Hill
96,tt0091326,2013-04-23,2013-04-23,,The Karate Kid Part II,https://www.imdb.com/title/tt0091326/,movie,6.0,113,1986,"Action, Family, Romance, Sport",65452,1986-06-19,John G. Avildsen
97,tt0109035,2013-04-23,2013-04-23,,Above the Rim,https://www.imdb.com/title/tt0109035/,movie,6.6,96,1994,"Crime, Drama, Sport, Thriller",12548,1994-03-23,Jeff Pollack
98,tt0109520,2013-04-23,2013-04-23,,D2: The Mighty Ducks,https://www.imdb.com/title/tt0109520/,movie,6.0,106,1994,"Comedy, Drama, Family, Sport",33071,1994-03-25,Sam Weisman
99,tt0117918,2013-04-23,2013-04-23,,Tin Cup,https://www.imdb.com/title/tt0117918/,movie,6.3,135,1996,"Comedy, Drama, Romance, Sport",42900,1996-08-16,Ron Shelton
