Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
67,tt0440963,2013-04-24,2013-04-24,,The Bourne Ultimatum,https://www.imdb.com/title/tt0440963/,movie,8.0,115,2007,"Action, Mystery, Thriller",578486,2007-07-25,Paul Greengrass
68,tt0337978,2013-04-24,2013-04-24,,Live Free or Die Hard,https://www.imdb.com/title/tt0337978/,movie,7.1,128,2007,"Action, Thriller",370375,2007-06-12,Len Wiseman
69,tt0477348,2013-04-24,2013-04-24,,No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.1,122,2007,"Crime, Drama, Thriller",763447,2007-05-19,"Joel Coen, Ethan Coen"
70,tt0910936,2013-04-24,2013-04-24,,Pineapple Express,https://www.imdb.com/title/tt0910936/,movie,7.0,111,2008,"Action, Comedy, Crime",292565,2008-08-06,David Gordon Green
71,tt1032755,2013-04-24,2013-04-24,,RocknRolla,https://www.imdb.com/title/tt1032755/,movie,7.3,114,2008,"Action, Crime, Thriller",219188,2008-09-04,Guy Ritchie
72,tt0493464,2013-04-24,2013-04-24,,Wanted,https://www.imdb.com/title/tt0493464/,movie,6.7,110,2008,"Action, Crime, Fantasy, Thriller",338927,2008-06-12,Timur Bekmambetov
73,tt1197624,2013-04-24,2013-04-24,,Law Abiding Citizen,https://www.imdb.com/title/tt1197624/,movie,7.4,109,2009,"Crime, Drama, Thriller",251646,2009-09-23,F. Gary Gray
74,tt0988045,2013-04-24,2013-04-24,,Sherlock Holmes,https://www.imdb.com/title/tt0988045/,movie,7.6,128,2009,"Action, Adventure, Crime, Mystery, Thriller",547147,2009-12-14,Guy Ritchie
75,tt1386588,2013-04-24,2013-04-24,,The Other Guys,https://www.imdb.com/title/tt1386588/,movie,6.7,107,2010,"Action, Comedy, Crime",220909,2010-08-02,Adam McKay
76,tt0944835,2013-04-24,2013-04-24,,Salt,https://www.imdb.com/title/tt0944835/,movie,6.4,100,2010,"Action, Mystery, Thriller",276566,2010-07-19,Phillip Noyce
77,tt0840361,2013-04-24,2013-04-24,,The Town,https://www.imdb.com/title/tt0840361/,movie,7.6,125,2010,"Crime, Drama, Thriller",321483,2010-09-08,Ben Affleck
78,tt1499658,2013-04-24,2013-04-24,,Horrible Bosses,https://www.imdb.com/title/tt1499658/,movie,6.9,98,2011,"Comedy, Crime",397669,2011-07-08,Seth Gordon
79,tt1515091,2013-04-24,2013-04-24,,Sherlock Holmes: A Game of Shadows,https://www.imdb.com/title/tt1515091/,movie,7.5,129,2011,"Action, Adventure, Crime, Mystery, Thriller",392738,2011-12-10,Guy Ritchie
80,tt1712170,2013-04-24,2013-04-24,,Alex Cross,https://www.imdb.com/title/tt1712170/,movie,5.1,101,2012,"Action, Crime, Mystery, Thriller",30910,2012-10-15,Rob Cohen
81,tt1524137,2013-04-24,2013-04-24,,Contraband,https://www.imdb.com/title/tt1524137/,movie,6.5,109,2012,"Action, Crime, Drama, Thriller",111506,2012-01-12,Baltasar Kormákur
82,tt1599348,2013-04-24,2013-04-24,,Safe House,https://www.imdb.com/title/tt1599348/,movie,6.8,115,2012,"Action, Adventure, Crime, Thriller",192102,2012-02-07,Daniel Espinosa
83,tt1549920,2013-04-24,2013-04-24,,The Last Stand,https://www.imdb.com/title/tt1549920/,movie,6.4,107,2013,"Action, Thriller",126346,2013-01-12,Jee-woon Kim
