Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
45,tt1675434,2013-04-23,2013-04-23,,Intouchables,https://www.imdb.com/title/tt1675434/,movie,8.5,112,2011,"Biography, Comedy, Drama",671675,2011-09-23,"Olivier Nakache, Éric Toledano"
46,tt0816711,2013-04-23,2013-04-23,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi, Thriller",551271,2013-06-02,Marc Forster
47,tt1535108,2013-04-23,2013-04-23,,Elysium,https://www.imdb.com/title/tt1535108/,movie,6.6,109,2013,"Action, Drama, Sci-Fi",394261,2013-08-07,Neill Blomkamp
48,tt1649419,2013-04-23,2013-04-23,,Lo imposible,https://www.imdb.com/title/tt1649419/,movie,7.6,114,2012,"Drama, History, Thriller",177039,2012-09-09,J.A. Bayona
49,tt0975645,2013-04-23,2013-04-23,,Hitchcock,https://www.imdb.com/title/tt0975645/,movie,6.8,98,2012,"Biography, Comedy, Drama, Romance",68167,2012-11-01,Sacha Gervasi
50,tt1869425,2013-04-23,2013-04-23,,Filly Brown,https://www.imdb.com/title/tt1869425/,movie,5.7,80,2012,"Drama, Music",1001,2012-01-20,"Michael D. Olmos, Youssef Delara"
51,tt1781769,2013-04-23,2013-04-23,,Anna Karenina,https://www.imdb.com/title/tt1781769/,movie,6.6,129,2012,"Drama, Romance",84409,2012-09-07,Joe Wright
52,tt2092011,2013-04-23,2013-04-23,,What Richard Did,https://www.imdb.com/title/tt2092011/,movie,6.3,88,2012,Drama,4289,2012-09-09,Lenny Abrahamson
53,tt1230215,2013-04-23,2013-04-23,,Not Fade Away,https://www.imdb.com/title/tt1230215/,movie,6.0,112,2012,Drama,4087,2012-10-06,David Chase
54,tt2066176,2013-04-23,2013-04-23,,Any Day Now,https://www.imdb.com/title/tt2066176/,movie,7.5,98,2012,Drama,5446,2012-04-20,Travis Fine
55,tt1034303,2013-04-23,2013-04-23,,Defiance,https://www.imdb.com/title/tt1034303/,movie,7.2,137,2008,"Action, Drama, History, Thriller, War",129924,2008-12-31,Edward Zwick
